id,id_viaje,moneda,tipo_cambio
A004893,V052,Dolar Americano,678.23
A013849,V120,Dolar Americano,964.38
A006270,V074,Euro,827.1
A013767,V115,Dolar Americano,940.92
A013975,V128,Euro,1022.4
A011035,V100,Euro,921.36
A013937,V123,Dolar Americano,954.44
A005262,V060,Yen Japones,64008
A015649,V143,Yen Japones,67595
A009456,V086,Euro,895.19
A011904,V101,Euro,868.24
A005824,V066,Euro,785.21
A010194,V093,Euro,947.26
A013867,V122,Yen Japones,63334
A013879-1,V122,Yen Japones,63334
A005401,V062,Dolar Americano,677.15
A013776-1,V116,Yen Japones,61984
A001415,V013,Dolar Americano,660.25
A011004,V100,Euro,936.78
A003911,V047,Dolar Americano,638.14
A013976,V128,Euro,1022.4
A003900,V047,Dolar Americano,638.14
A005258,V060,Yen Japones,64008
A014138,V123,Dolar Americano,938.78
A015477,V143,Yen Japones,63125
A013860,V121,Dolar Americano,978.2
A003146,V038,Euro,771.25
A013956,V124,Euro,1016.86
A014156,V127,Yen Japones,61354
A013861,V121,Dolar Americano,978.2
A011101,V100,Euro,895.62
A011877,V101,Euro,854.57
A013718,V129,Yen Japones,64274
A000982,V009,Dolar Americano,691.26
A013641,V114,Euro,1059.13
A009517,V086,Euro,882.76
