id,id_viaje,moneda,tipo_cambio
A005640,V064,Yen Japones,66492
A002012,V021,Euro,710.93
A013082,V113,Euro,945.58
A014260,V122,Yen Japones,61354
A014222,V119,Euro,1009.94
A014152,V124,Euro,1009.94
A013784,V116,Yen Japones,61984
A009527,V086,Euro,882.76
A014237,V121,Dolar Americano,938.78
A014114,V123,Dolar Americano,938.78
A001822,V021,Euro,688.97
A013693,V124,Euro,1049.02
A013855,V121,Dolar Americano,978.2
A013814,V119,Euro,1026.29
A013911,V122,Yen Japones,61716
A014038,V133,Euro,1014.49
A014167,V131,Dolar Americano,938.78
A014722,V139,Euro,1017.4
A013571,V124,Euro,1043.91
A009464,V086,Euro,895.19
A003462,V047,Dolar Americano,606.01
A014275,V125,Dolar Americano,938.78
A014154,V125,Dolar Americano,938.78
A014279,V128,Euro,1009.94
A013091,V113,Euro,966.5
A008315,V082,Dolar Americano,732.6
A014166,V131,Dolar Americano,938.78
A000267,V003,Dolar Americano,691.07
A011000,V100,Euro,932.38
A005266,V060,Yen Japones,64008
A005716,V064,Yen Japones,66683
A010168,V089,Yen Japones,68929
A015470,V143,Yen Japones,63008
A014304,V129,Yen Japones,59461
A014266,V123,Dolar Americano,938.78
A013878-1,V122,Yen Japones,63334
A011066,V100,Euro,907.32
A011928,V101,Euro,861.48
A013577,V125,Dolar Americano,955.61
A001494,V021,Euro,745.69
A009507,V086,Euro,886.13
A013096,V113,Euro,966.5
A014186,V116,Yen Japones,61354
A010543,V097,Euro,929.81
A013881,V122,Yen Japones,63334
A004845,V052,Dolar Americano,665.5
A013789-1,V116,Yen Japones,61984
A013808,V118,Dolar Americano,954.7
A005832,V066,Euro,785.21
A013774,V116,Yen Japones,61984
A005410,V062,Dolar Americano,677.15
A014248,V122,Yen Japones,61354
A013900-1,V122,Yen Japones,62440
A001078,V010,Euro,775.58
A014182,V115,Dolar Americano,938.78
A013578,V125,Dolar Americano,955.61
A008726,V083,Yen Japones,71769
A013950,V123,Dolar Americano,954.44
A010980,V100,Euro,909.84
A014700,V139,Euro,1044.93
A011914,V101,Euro,855.45
A014024-1,V132,Euro,1014.49
A013342,V121,Dolar Americano,953.4
A001443,V013,Dolar Americano,660.25
A006110,V074,Euro,898.32
A014183,V115,Dolar Americano,938.78
A013785-1,V116,Yen Japones,61984
A011039,V100,Euro,931.43
A009467,V086,Euro,895.19
A013870,V122,Yen Japones,63334
A013880-1,V122,Yen Japones,63334
A014220,V119,Euro,1009.94
A014218,V119,Euro,1009.94
A004853,V052,Dolar Americano,667.03
A001987,V021,Euro,710.93
A014257,V122,Yen Japones,61354
A014284,V129,Yen Japones,61354
A014638,V138,Euro,1033.8
A013093,V113,Euro,966.5
A013153,V113,Euro,973.31
A006279,V074,Euro,835.55
A005947,V070,Dolar Americano,723.73
A005829,V066,Euro,785.21
A013520,V116,Yen Japones,65764
A013855-1,V121,Dolar Americano,978.2
A015644,V143,Yen Japones,67595
A013088,V113,Euro,953.47
A013818-1,V119,Euro,1026.29
A013696,V119,Euro,1049.02
A014176,V132,Euro,1009.94
A014537,V134,Yen Japones,58887
A010445,V099,Euro,919.95
A013952,V124,Euro,1016.86
A014190,V116,Yen Japones,61354
A013966,V125,Dolar Americano,954.44
A009513,V086,Euro,882.76
A014726,V139,Euro,1017.4
A010422,V099,Euro,924.31
A005938,V068,Dolar Americano,723.8
A013722,V132,Euro,1049.02
A015679,V143,Yen Japones,67762
A014007-1,V132,Euro,1018
A013925-1,V123,Dolar Americano,954.44
A005662,V064,Yen Japones,66607
A013719,V131,Dolar Americano,974.2
A015627,V143,Yen Japones,66340
A013278,V114,Euro,991.35
A006295,V075,Dolar Americano,751.5
A001998,V021,Euro,710.93
A013862,V121,Dolar Americano,979.9
A015675,V143,Yen Japones,67762
A011067,V100,Euro,903.92
A013140,V113,Euro,971.33
A013992-1,V129,Yen Japones,61126
A004895,V052,Dolar Americano,678.23
A014731,V139,Euro,1017.4
A014269,V123,Dolar Americano,938.78
A001406,V013,Dolar Americano,660.25
A014246,V122,Yen Japones,61354
A013869,V122,Yen Japones,63334
A014649,V138,Euro,1033.8
A014730,V139,Euro,1017.4
A013083,V113,Euro,945.58
A011093,V100,Euro,895.09
A011088,V100,Euro,895.09
A004908,V052,Dolar Americano,679.38
A013928-1,V123,Dolar Americano,954.44
A014746,V139,Euro,1017.4
A014645,V138,Euro,1033.8
A012592,V108,Euro,941.52
A015692,V143,Yen Japones,68408
A001009,V013,Dolar Americano,695.5
A008564,V084,Dolar Americano,784.68
A003893,V047,Dolar Americano,638.14
A003028,V033,Yen Japones,55903
A011991,V103,Euro,846.33
A003783,V046,Yen Japones,57111
A008745,V084,Dolar Americano,813.2
A013065,V113,Euro,947.19
A014251,V122,Yen Japones,61354
A009504,V086,Euro,886.13
A014102,V116,Yen Japones,61354
A013989-1,V129,Yen Japones,61126
A004888,V052,Dolar Americano,678.23
A014108,V119,Euro,1009.94
A001659,V016,Euro,692.77
A014022,V132,Euro,1014.49
A013565,V122,Yen Japones,64704
A014211,V118,Dolar Americano,938.78
A010193,V092,Yen Japones,68929
A014155,V126,Yen Japones,61354
A003768,V046,Yen Japones,57111
A014247,V122,Yen Japones,61354
A013119,V113,Euro,983.81
A014250,V122,Yen Japones,61354
A014191,V116,Yen Japones,61354
A013113,V113,Euro,981.77
A013987,V128,Euro,1022.4
A006266,V074,Euro,827.1
A007231,V080,Yen Japones,72963
A013901-1,V122,Yen Japones,62440
A005713,V064,Yen Japones,66683
A015655,V143,Yen Japones,67595
A013961-1,V125,Dolar Americano,954.44
A013838,V119,Euro,1026.29
A014280,V128,Euro,1009.94
A006297,V075,Dolar Americano,751.5
A013873,V122,Yen Japones,63334
A013078,V113,Euro,954.58
A013965,V125,Dolar Americano,954.44
A013235,V119,Euro,995.81
A011001,V100,Euro,932.38
A013080,V113,Euro,945.58
A000218,V002,Dolar Americano,678
A013579,V128,Euro,1043.91
A011919,V101,Euro,855.45
A014733,V139,Euro,1017.4
A013877-1,V122,Yen Japones,63334
A003140,V037,Euro,771.25
A013236,V119,Euro,995.81
A011910,V101,Euro,868.24
A004414,V052,Dolar Americano,668.08
A014737,V139,Euro,1017.4
A013891,V122,Yen Japones,63314
A013765,V115,Dolar Americano,940.92
A006074,V071,Dolar Americano,774.3
A013553,V120,Dolar Americano,966.4
A001386,V011,Dolar Americano,674.34
A014642,V138,Euro,1033.8
A015891,V144,Euro,1093.46
A013919-1,V123,Dolar Americano,954.44
A013988,V128,Euro,1015.79
A008749,V084,Dolar Americano,813.2
A001416,V013,Dolar Americano,660.25
A003882,V047,Dolar Americano,640.27
A001991,V021,Euro,710.93
A014755,V139,Euro,1021.28
A013847-1,V120,Dolar Americano,964.38
A015657,V143,Yen Japones,67595
A013887,V122,Yen Japones,63314
A005642,V064,Yen Japones,66492
A006299,V075,Dolar Americano,751.5
A000268,V003,Dolar Americano,691.07
A001073,V010,Euro,775.58
A001430,V013,Dolar Americano,660.25
A005406,V062,Dolar Americano,677.15
A014242,V122,Yen Japones,61354
A013343,V122,Yen Japones,64116
A013529,V119,Euro,1055.89
A010169,V089,Yen Japones,68929
A014124,V122,Yen Japones,61354
A014115,V121,Dolar Americano,938.78
A001440,V013,Dolar Americano,660.25
A008721,V083,Yen Japones,71769
A002015,V021,Euro,710.93
A013115,V113,Euro,983.81
A013963,V125,Dolar Americano,954.44
A013846-1,V120,Dolar Americano,964.38
A000983,V009,Dolar Americano,691.26
A014133,V122,Yen Japones,61354
A009486,V086,Euro,896.6
A013783-1,V116,Yen Japones,61984
A015660,V143,Yen Japones,67595
A005096,V057,Yen Japones,60896
A014271,V123,Dolar Americano,938.78
A011045,V100,Euro,922.74
A013764-1,V115,Dolar Americano,940.92
A005261,V060,Yen Japones,64008
A014210,V118,Dolar Americano,938.78
A013640,V114,Euro,1059.13
A013356,V116,Yen Japones,64116
A013785,V116,Yen Japones,61984
A013550,V120,Dolar Americano,966.4
A008756,V084,Dolar Americano,813.2
A003029,V033,Yen Japones,55903
A013121,V113,Euro,983.81
A011099,V100,Euro,895.62
A013858,V121,Dolar Americano,978.2
A013986,V128,Euro,1022.4
A013625,V114,Euro,1061.55
A004855,V052,Dolar Americano,667.03
A001775,V018,Euro,702.38
A013812,V118,Dolar Americano,954.7
A001989,V021,Euro,710.93
A013806,V118,Dolar Americano,954.7
A014723,V139,Euro,1017.4
A014289,V133,Euro,1009.94
A005407,V062,Dolar Americano,677.15
A013216,V122,Yen Japones,62754
A013938,V123,Dolar Americano,954.44
A010165,V089,Yen Japones,68929
A013223,V132,Euro,995.81
A000980,V013,Dolar Americano,691.26
A014239,V121,Dolar Americano,938.78
A008710,V083,Yen Japones,71769
A003143,V038,Euro,771.25
A005257,V060,Yen Japones,64008
A013857-1,V121,Dolar Americano,978.2
A014286,V132,Euro,1009.94
A013898,V122,Yen Japones,63314
A005419,V062,Dolar Americano,678.84
A000984,V009,Dolar Americano,691.26
A013857,V121,Dolar Americano,978.2
A013423,V116,Yen Japones,64091
A001999,V021,Euro,710.93
A006078,V071,Dolar Americano,774.3
A013893,V122,Yen Japones,63314
A013951,V123,Dolar Americano,954.44
A013918,V123,Dolar Americano,954.44
A005706,V064,Yen Japones,66683
A001409,V013,Dolar Americano,660.25
A014254,V122,Yen Japones,61354
A001996,V021,Euro,710.93
A013596,V131,Dolar Americano,944.13
A008736,V084,Dolar Americano,813.2
A009480,V086,Euro,894.03
A015661,V143,Yen Japones,67595
A013915-1,V122,Yen Japones,61716
A013690,V115,Dolar Americano,974.2
A014193,V116,Yen Japones,61354
A010163,V089,Yen Japones,68929
A011024,V100,Euro,939.88
A013924,V123,Dolar Americano,954.44
A003894,V047,Dolar Americano,638.14
A006273,V074,Euro,835.55
A004055,V047,Dolar Americano,637.12
A012353,V106,Euro,922.82
A013920,V123,Dolar Americano,954.44
A003879,V047,Dolar Americano,640.27
A014745,V139,Euro,1017.4
A009462,V086,Euro,895.19
A013934-1,V123,Dolar Americano,954.44
A013513,V124,Euro,1050.5
A013339,V116,Yen Japones,64116
A005698,V064,Yen Japones,66683
A008747,V084,Dolar Americano,813.2
A014195,V116,Yen Japones,61354
A015662,V143,Yen Japones,67562
A013647,V114,Euro,1059.13
A013635,V114,Euro,1059.44
A010177,V089,Yen Japones,68929
A013809-1,V118,Dolar Americano,954.7
A013111,V113,Euro,981.77
A005098,V057,Yen Japones,60896
