"id","fecha","razon_uso","clave","descripcion","lugar_de_uso","monto","periodo_fact_c_diaria","tipo_razon_uso","id_viaje","grupo_viaje","id_presupuesto"
A014881,2024-09-11,NECESIDAD,consumible,consumible_7745,NECESIDAD7,-502.32,202409,regular,,,
A014882,2024-09-11,NECESIDAD,consumible,consumible_5223,NECESIDAD9,-321.84000000000003,202409,regular,,,
A014883,2024-09-12,P.FORMAL,educacion,educacion_5226,P.FORMAL9,-545676.0,202409,especifico,,,P064
A014884,2024-09-13,SUSCRIPCION,gustos,gustos_9370,SUSCRIPCION8,-3174.9750000000004,202409,regular,,,
A014885,2024-09-13,P.RECREACION,transporte,transporte_6,P.RECREACION7,-14106.0,202409,especifico,,,P027
A014886,2024-09-13,P.GUSTOS,gustos,"8.gustos_8",P.GUSTOS2,-269245.5,202409,especifico,,,P008
A014887,2024-09-13,P.GUSTOS,gustos,"4.gustos_16",P.GUSTOS1,-82491.0,202409,especifico,,,P004
A014888,2024-09-14,SUSCRIPCION,hogar,hogar_8927,SUSCRIPCION1,-14035.5,202409,regular,,,
A014889,2024-09-14,P.RECREACION,transporte,transporte_3,P.RECREACION2,-64161.0,202409,especifico,,,P027
A014890,2024-09-14,P.RECREACION,consumible,consumible_8098,P.RECREACION10,-1557.0,202409,especifico,,,P027
A014891,2024-09-14,RECREACION,deuda,deuda: nombre_20,RECREACION10,202300.8,202409,regular,,,
A014893,2024-09-14,P.RECREACION,transporte,transporte_6,P.RECREACION10,-20120.355,202409,especifico,,,P027
A014894,2024-09-14,P.RECREACION,consumible,consumible_8405,P.RECREACION3,-21156.0,202409,especifico,,,P027
A014895,2024-09-14,P.RECREACION,deuda,deuda: nombre_20,P.RECREACION8,-10299.0,202409,especifico,,,P027
A014896,2024-09-14,P.RECREACION,deuda,deuda: nombre_1,P.RECREACION9,17619.0,202409,especifico,,,P027
A014897,2024-09-14,P.RECREACION,transporte,transporte_4,P.RECREACION1,-18612.36,202409,especifico,,,P027
A014898,2024-09-15,P.RECREACION,consumible,consumible_8094,P.RECREACION4,-12907.5,202409,especifico,,,P027
A014899,2024-09-15,LIBRE,gustos,gustos_490,LIBRE9,-17560.5,202409,regular,,,
A014900,2024-09-15,LIBRE,gustos,"3.gustos_15",LIBRE3,-5644.59,202409,regular,,,
A014901,2024-09-15,P.RECREACION,transporte,transporte_11,P.RECREACION6,-7092.66,202409,especifico,,,P027
A014903,2024-09-15,P.RECREACION,transporte,transporte_18,P.RECREACION7,-4231.7699999999995,202409,especifico,,,P027
A014904,2024-09-15,P.RECREACION,transporte,transporte_7,P.RECREACION10,-21156.0,202409,especifico,,,P027
A014905,2024-09-15,P.RECREACION,consumible,consumible_10211,P.RECREACION7,-4236.0,202409,especifico,,,P027
A014906,2024-09-16,P.RECREACION,transporte,transporte_7,P.RECREACION10,-6349.59,202409,especifico,,,P027
A014908,2024-09-17,NECESIDAD,consumible,consumible_5901,NECESIDAD1,-1275.0,202409,regular,,,
A014909,2024-09-19,LIBRE,consumible,consumible_7017,LIBRE2,-6985.5,202409,regular,,,
A014910,2024-09-19,P.GUSTOS,gustos,"4.gustos_4",P.GUSTOS2,26079.0,202409,especifico,,,P004
A014911,2024-09-19,P.GUSTOS,gustos,"3.gustos_19",P.GUSTOS9,26079.0,202409,especifico,,,P003
A014914,2024-09-20,NECESIDAD,consumible,consumible_4853,NECESIDAD9,-1839.0,202409,regular,,,
A014915,2024-09-20,NECESIDAD,consumible,consumible_6023,NECESIDAD9,-5286.450000000001,202409,regular,,,
A014916,2024-09-20,NECESIDAD,consumible,consumible_7689,NECESIDAD3,-4880.37,202409,regular,,,
A014917,2024-09-20,NECESIDAD,consumible,consumible_5821,NECESIDAD1,-2043.4499999999998,202409,regular,,,
A014918,2024-09-20,NECESIDAD,consumible,consumible_7115,NECESIDAD7,-2395.95,202409,regular,,,
A014919,2024-09-20,HOGAR,hogar,hogar1837,HOGAR1,-1831.9499999999998,202409,regular,,,
A014920,2024-09-20,HOGAR,hogar,hogar1842,HOGAR6,-918.9749999999999,202409,regular,,,
A014921,2024-09-20,NECESIDAD,consumible,consumible_6151,NECESIDAD1,-1906.68,202409,regular,,,
A014922,2024-09-20,NECESIDAD,consumible,consumible_5498,NECESIDAD4,-700.425,202409,regular,,,
A014923,2024-09-20,NECESIDAD,consumible,consumible_5580,NECESIDAD2,-1631.025,202409,regular,,,
A014924,2024-09-20,NECESIDAD,consumible,consumible_4403,NECESIDAD9,-1698.0,202409,regular,,,
A014925,2024-09-20,NECESIDAD,consumible,consumible_5222,NECESIDAD10,-336.64500000000004,202409,regular,,,
A014926,2024-09-20,NECESIDAD,consumible,consumible_6799,NECESIDAD3,-1816.44,202409,regular,,,
A014927,2024-09-20,NECESIDAD,consumible,consumible_7627,NECESIDAD5,-3555.675,202409,regular,,,
