"id","fecha","razon_uso","descripcion","lugar_de_uso","monto","id_deuda","periodo_fact_c_diaria","nombre_deudor","periodo_id_deuda"
A001798,2017-01-31,RECREACION,deuda: nombre_4,RECREACION4,-4412.25,D014,201701,nombre_4,201701
A001799,2017-01-31,RECREACION,deuda: nombre_3,RECREACION5,-4412.25,D014,201701,nombre_3,201701
A001800,2017-01-31,RECREACION,deuda: nombre_1,RECREACION6,-4236.0,D014,201701,nombre_1,201701
A001809,2017-02-03,LIBRE,deuda: nombre_5,LIBRE6,8806.5,D014,201702,nombre_5,201701
A001812,2017-02-03,LIBRE,deuda: nombre_2,LIBRE7,4224.0,D014,201702,nombre_2,201701
A001859,2017-02-17,RECREACION,deuda: nombre_16,RECREACION7,-3954.0,D015,201702,nombre_16,201702
A001860,2017-02-17,LIBRE,deuda: nombre_17,LIBRE8,3942.0,D015,201702,nombre_17,201702
A001941-1,2017-03-13,P.VIAJE,deuda: nombre_10,P.VIAJE8,-69801.0,D016,201703,nombre_10,201703
A001941-2,2017-03-13,P.VIAJE,deuda: nombre_3,P.VIAJE9,-69801.0,D016,201703,nombre_3,201703
A001942,2017-03-13,P.VIAJE,deuda: nombre_11,P.VIAJE9,83889.0,D016,201703,nombre_11,201703
A001977,2017-03-16,P.VIAJE,deuda: nombre_4,P.VIAJE8,14094.0,D016,201703,nombre_4,201703
A001998,2017-03-18,P.VIAJE,deuda: nombre_15,P.VIAJE9,-22384.815,D017,201703,nombre_15,201703
A002005,2017-03-18,P.VIAJE,deuda: nombre_16,P.VIAJE9,33583.02,D017,201703,nombre_16,201703
A002046,2017-03-29,P.VIAJE,deuda: nombre_6,P.VIAJE10,211494.0,D018,201703,nombre_6,201703
A002050,2017-03-29,P.VIAJE,deuda: nombre_13,P.VIAJE1,-60354.0,D018,201703,nombre_13,201703
A002052,2017-03-29,P.VIAJE,deuda: nombre_7,P.VIAJE2,-207840.0,D018,201703,nombre_7,201703
A002088,2017-04-06,LIBRE,deuda: nombre_2,LIBRE10,-4941.0,D019,201704,nombre_2,201704
A002089,2017-04-07,LIBRE,deuda: nombre_18,LIBRE1,4929.0,D019,201704,nombre_18,201704
A002131,2017-04-22,LIBRE,deuda: nombre_10,LIBRE2,-3531.0,D000,201704,nombre_10,201604
A002178,2017-05-06,RECREACION,deuda: nombre_12,RECREACION9,4929.0,D231,201705,nombre_12,201705
A002195,2017-05-12,RECREACION,deuda: nombre_8,RECREACION10,-4024.5,D020,201705,nombre_8,201705
A002199,2017-05-12,LIBRE,deuda: nombre_2,LIBRE3,4012.5,D020,201705,nombre_2,201705
A002212,2017-05-13,P.VIAJE,deuda: nombre_10,P.VIAJE1,-11427.0,D018,201705,nombre_10,201703
A002214,2017-05-13,P.VIAJE,deuda: nombre_20,P.VIAJE2,-162015.0,D021,201705,nombre_20,201705
A002236,2017-05-19,RECREACION,deuda: nombre_15,RECREACION4,-4941.0,D231,201705,nombre_15,201705
A002244,2017-05-25,RECREACION,deuda: nombre_12,RECREACION1,-4024.5,D022,201705,nombre_12,201705
A002245,2017-05-25,RECREACION,deuda: nombre_13,RECREACION2,-4024.5,D022,201705,nombre_13,201705
A002246,2017-05-25,RECREACION,deuda: nombre_5,RECREACION4,4012.5,D022,201705,nombre_5,201705
A002247,2017-05-25,RECREACION,deuda: nombre_6,RECREACION5,4012.5,D022,201705,nombre_6,201705
A002296,2017-06-09,P.VIAJE,deuda: nombre_18,P.VIAJE3,133944.0,D018,201706,nombre_18,201703
A002299,2017-06-10,P.VIAJE,deuda: nombre_3,P.VIAJE4,-6351.0,D018,201706,nombre_3,201703
A002312,2017-06-10,P.VIAJE,deuda: nombre_4,P.VIAJE5,-7056.0,D018,201706,nombre_4,201703
A002317,2017-06-11,P.VIAJE,deuda: nombre_15,P.VIAJE6,-711.0,D018,201706,nombre_15,201703
A002318,2017-06-11,P.VIAJE,deuda: nombre_2,P.VIAJE8,-1275.0,D018,201706,nombre_2,201703
A002323,2017-06-11,P.VIAJE,deuda: nombre_15,P.VIAJE9,-6280.5,D018,201706,nombre_15,201703
A002327,2017-06-11,P.VIAJE,deuda: nombre_18,P.VIAJE10,-8748.0,D018,201706,nombre_18,201703
A002328,2017-06-11,P.VIAJE,deuda: nombre_10,P.VIAJE1,-2755.5,D018,201706,nombre_10,201703
A002335,2017-06-12,P.VIAJE,deuda: nombre_15,P.VIAJE2,-4941.0,D018,201706,nombre_15,201703
A002338,2017-06-12,P.VIAJE,deuda: nombre_16,P.VIAJE3,-13753.5,D018,201706,nombre_16,201703
A002343,2017-06-12,P.VIAJE,deuda: nombre_17,P.VIAJE4,-6703.5,D018,201706,nombre_17,201703
A002351,2017-06-12,P.VIAJE,deuda: nombre_13,P.VIAJE5,-4095.0,D018,201706,nombre_13,201703
A002359,2017-06-13,P.VIAJE,deuda: nombre_4,P.VIAJE6,-176256.0,D018,201706,nombre_4,201703
A002360,2017-06-14,LIBRE,deuda: nombre_18,LIBRE8,-14106.0,D023,201706,nombre_18,201706
A002362,2017-06-15,LIBRE,deuda: nombre_19,LIBRE9,7044.0,D023,201706,nombre_19,201706
A002380,2017-06-16,LIBRE,deuda: nombre_20,LIBRE10,7044.0,D023,201706,nombre_20,201706
A002384,2017-06-16,RECREACION,deuda: nombre_17,RECREACION5,-100821.0,D024,201706,nombre_17,201706
A002385,2017-06-16,RECREACION,deuda: nombre_15,RECREACION6,-100821.0,D024,201706,nombre_15,201706
A002386,2017-06-16,RECREACION,deuda: nombre_1,RECREACION7,-52881.0,D024,201706,nombre_1,201706
A002387,2017-06-16,RECREACION,deuda: nombre_11,RECREACION8,-50061.0,D024,201706,nombre_11,201706
A002388,2017-06-16,RECREACION,deuda: nombre_19,RECREACION9,-98706.0,D024,201706,nombre_19,201706
A002396,2017-06-17,RECREACION,deuda: nombre_18,RECREACION10,100809.0,D024,201706,nombre_18,201706
A002468,2017-07-09,RECREACION,deuda: nombre_2,RECREACION1,-9876.0,D025,201707,nombre_2,201707
A002470,2017-07-09,LIBRE,deuda: nombre_12,LIBRE1,7044.0,D025,201707,nombre_12,201707
A002504,2017-07-21,LIBRE,deuda: nombre_1,LIBRE2,-7056.0,D026,201707,nombre_1,201707
A002516,2017-07-23,P.VIAJE,deuda: nombre_18,P.VIAJE7,-118199.25,D027,201707,nombre_18,201707
A002517,2017-07-24,LIBRE,deuda: nombre_2,LIBRE3,7044.0,D026,201707,nombre_2,201707
A002521,2017-07-24,LIBRE,deuda: nombre_3,LIBRE4,-781.5,D000,201707,nombre_3,201604
A002575,2017-08-05,RECREACION,deuda: nombre_16,RECREACION2,100809.0,D024,201708,nombre_16,201706
A002586,2017-08-11,RECREACION,deuda: nombre_19,RECREACION3,-2685.0,D028,201708,nombre_19,201708
A002587,2017-08-11,LIBRE,deuda: nombre_20,LIBRE5,2814.0,D028,201708,nombre_20,201708
A002593,2017-08-12,RECREACION,deuda: nombre_15,RECREACION4,-4024.5,D000,201708,nombre_15,201604
A002623,2017-08-31,P.VIAJE,deuda: nombre_16,P.VIAJE8,-45302.25,D021,201708,nombre_16,201705
A002624,2017-08-31,P.VIAJE,deuda: nombre_11,P.VIAJE9,-45302.25,D021,201708,nombre_11,201705
A002705,2017-09-16,P.VIAJE,deuda: nombre_12,P.VIAJE10,45819.0,D021,201709,nombre_12,201705
A002731,2017-09-27,LIBRE,deuda: nombre_2,LIBRE6,-3531.0,D029,201709,nombre_2,201709
A002763,2017-10-02,LIBRE,deuda: nombre_3,LIBRE7,3519.0,D029,201710,nombre_3,201709
A002772,2017-10-05,P.VIAJE,deuda: nombre_1,P.VIAJE1,162144.0,D021,201710,nombre_1,201705
A002773,2017-10-05,P.VIAJE,deuda: nombre_17,P.VIAJE2,49344.0,D021,201710,nombre_17,201705
A002777,2017-10-05,P.VIAJE,deuda: nombre_12,P.VIAJE3,42294.0,D021,201710,nombre_12,201705
A002779,2017-10-06,P.VIAJE,deuda: nombre_13,P.VIAJE4,-42306.0,D021,201710,nombre_13,201705
A002792,2017-10-06,P.VIAJE,deuda: nombre_10,P.VIAJE5,42294.0,D021,201710,nombre_10,201705
A002796,2017-10-07,P.VIAJE,deuda: nombre_11,P.VIAJE6,-42306.0,D021,201710,nombre_11,201705
A002821,2017-10-13,RECREACION,deuda: nombre_2,RECREACION5,52869.0,D024,201710,nombre_2,201706
A002851,2017-10-19,P.VIAJE,deuda: nombre_19,P.VIAJE7,119844.0,D027,201710,nombre_19,201707
A002916,2017-10-26,RECREACION,deuda: nombre_12,RECREACION6,50401.5,D024,201710,nombre_12,201706
A002931,2017-10-29,RECREACION,deuda: nombre_20,RECREACION7,98694.0,D024,201710,nombre_20,201706
A002965,2017-11-05,LIBRE,deuda: nombre_13,LIBRE8,7044.0,D030,201711,nombre_13,201711
A002967,2017-11-05,RECREACION,deuda: nombre_14,RECREACION8,-8184.0,D030,201711,nombre_14,201711
A002973,2017-11-10,P.VIAJE,deuda: nombre_6,P.VIAJE8,-2826.0,D212,201711,nombre_6,201711
A002974,2017-11-10,P.VIAJE,deuda_6154,P.VIAJE6,-3954.0,D212,201711,Varios,201711
A002975,2017-11-10,P.VIAJE,deuda: nombre_9,P.VIAJE9,-11215.5,D212,201711,nombre_9,201711
A002976,2017-11-10,P.VIAJE,deuda_6152,P.VIAJE8,-12343.5,D212,201711,Varios,201711
A002977,2017-11-10,P.VIAJE,deuda_6150,P.VIAJE10,-3531.0,D212,201711,Varios,201711
A002979,2017-11-10,P.VIAJE,deuda_6153,P.VIAJE7,-2121.0,D212,201711,Varios,201711
A002980,2017-11-10,P.VIAJE,deuda_6156,P.VIAJE4,-1416.0,D212,201711,Varios,201711
A002981,2017-11-11,P.VIAJE,deuda_6151,P.VIAJE9,-4236.0,D212,201711,Varios,201711
A002982,2017-11-11,P.VIAJE,deuda_6146,P.VIAJE4,-10581.0,D212,201711,Varios,201711
A002983,2017-11-11,P.VIAJE,deuda: nombre_10,P.VIAJE10,-10581.0,D212,201711,nombre_10,201711
A002984,2017-11-11,P.VIAJE,deuda: nombre_14,P.VIAJE1,-4236.0,D212,201711,nombre_14,201711
A002985,2017-11-11,P.VIAJE,deuda_6149,P.VIAJE1,-2121.0,D212,201711,Varios,201711
A003080,2017-11-27,P.VIAJE,deuda: nombre_18,P.VIAJE2,-2755.5,D212,201711,nombre_18,201711
A003081,2017-11-27,P.VIAJE,deuda: nombre_15,P.VIAJE3,-3531.0,D212,201711,nombre_15,201711
A003082,2017-11-27,P.VIAJE,deuda_6148,P.VIAJE2,-2403.0,D212,201711,Varios,201711
A003083,2017-11-27,P.VIAJE,deuda_6147,P.VIAJE3,-9876.0,D212,201711,Varios,201711
A003084,2017-11-27,P.VIAJE,deuda: nombre_1,P.VIAJE4,-8466.0,D212,201711,nombre_1,201711
A003085,2017-11-27,P.VIAJE,deuda_6155,P.VIAJE5,-2826.0,D212,201711,Varios,201711
A003086,2017-11-27,P.VIAJE,deuda: nombre_7,P.VIAJE5,-2826.0,D212,201711,nombre_7,201711
A003107,2017-12-03,RECREACION,deuda: nombre_18,RECREACION9,-2818.95,D031,201712,nombre_18,201712
A003109,2017-12-03,LIBRE,deuda: nombre_19,LIBRE9,2814.0,D031,201712,nombre_19,201712
A003116,2017-12-07,P.VIAJE,deuda: nombre_9,P.VIAJE6,68943.0,D212,201712,nombre_9,201711
A003117,2017-12-07,P.VIAJE,deuda: nombre_10,P.VIAJE7,32635.5,D212,201712,nombre_10,201711
A003191,2017-12-17,RECREACION,deuda: nombre_17,RECREACION10,-4024.5,D032,201712,nombre_17,201712
