"id","id_creditos","periodo_inicio","periodo_corte","tipo_credito","primer_dia_mes_corte"
A001867,23,201702,201703,gasto,2017-03-01
A001887,23,201702,201703,deposito,2017-03-01
A001889,23,201702,201703,gasto,2017-03-01
A001890,23,201702,201703,gasto,2017-03-01
A001911,23,201702,201703,gasto,2017-03-01
A001913,23,201702,201703,gasto,2017-03-01
A001914,23,201702,201703,gasto,2017-03-01
A001918,24,201703,201704,gasto,2017-04-01
A001919,24,201703,201704,gasto,2017-04-01
A001920,24,201703,201704,gasto,2017-04-01
A001934,24,201703,201704,gasto,2017-04-01
A001935,24,201703,201704,gasto,2017-04-01
A001936,24,201703,201704,gasto,2017-04-01
A001937,24,201703,201704,gasto,2017-04-01
A001940,24,201703,201704,gasto,2017-04-01
A001941,24,201703,201704,gasto,2017-04-01
A001941-1,24,201703,201704,gasto,2017-04-01
A001941-2,24,201703,201704,gasto,2017-04-01
A001955,24,201703,201704,gasto,2017-04-01
A001956,24,201703,201704,gasto,2017-04-01
A001957,24,201703,201704,gasto,2017-04-01
A001962,24,201703,201704,gasto,2017-04-01
A001967,24,201703,201704,gasto,2017-04-01
A001968,24,201703,201704,gasto,2017-04-01
A001969,24,201703,201704,gasto,2017-04-01
A001981,24,201703,201704,gasto,2017-04-01
A001983,24,201703,201704,gasto,2017-04-01
A002017,24,201703,201704,gasto,2017-04-01
A002018,24,201703,201704,gasto,2017-04-01
A002019,24,201703,201704,gasto,2017-04-01
A002020,24,201703,201704,gasto,2017-04-01
A002021,24,201703,201704,gasto,2017-04-01
A002022,24,201703,201704,gasto,2017-04-01
A002023,24,201703,201704,gasto,2017-04-01
A002024,24,201703,201704,gasto,2017-04-01
A002026,24,201703,201704,gasto,2017-04-01
A002030,24,201703,201704,deposito,2017-04-01
A002036,24,201703,201704,gasto,2017-04-01
A002037,24,201703,201704,gasto,2017-04-01
A002062,24,201703,201704,deposito,2017-04-01
A002064,24,201703,201704,deposito,2017-04-01
A002066,24,201703,201704,deposito,2017-04-01
A002068,24,201703,201704,deposito,2017-04-01
A002092,24,201703,201704,gasto,2017-04-01
A002110,25,201704,201705,gasto,2017-05-01
A002111,25,201704,201705,gasto,2017-05-01
A002126,25,201704,201705,deposito,2017-05-01
A002202,26,201705,201706,gasto,2017-06-01
A002229,26,201705,201706,deposito,2017-06-01
A002279,26,201705,201706,gasto,2017-06-01
A002297,27,201706,201707,gasto,2017-07-01
A002298,27,201706,201707,gasto,2017-07-01
A002299,27,201706,201707,gasto,2017-07-01
A002300,27,201706,201707,gasto,2017-07-01
A002307,27,201706,201707,gasto,2017-07-01
A002311,27,201706,201707,gasto,2017-07-01
A002316,27,201706,201707,gasto,2017-07-01
A002317,27,201706,201707,gasto,2017-07-01
A002318,27,201706,201707,gasto,2017-07-01
A002319,27,201706,201707,gasto,2017-07-01
A002320,27,201706,201707,gasto,2017-07-01
A002321,27,201706,201707,gasto,2017-07-01
A002324,27,201706,201707,gasto,2017-07-01
A002332,27,201706,201707,gasto,2017-07-01
A002334,27,201706,201707,gasto,2017-07-01
A002335,27,201706,201707,gasto,2017-07-01
A002336,27,201706,201707,gasto,2017-07-01
A002337,27,201706,201707,gasto,2017-07-01
A002338,27,201706,201707,gasto,2017-07-01
A002341,27,201706,201707,gasto,2017-07-01
A002347,27,201706,201707,gasto,2017-07-01
A002349,27,201706,201707,gasto,2017-07-01
A002350,27,201706,201707,gasto,2017-07-01
A002351,27,201706,201707,gasto,2017-07-01
A002352,27,201706,201707,gasto,2017-07-01
A002353,27,201706,201707,gasto,2017-07-01
A002374,27,201706,201707,gasto,2017-07-01
A002375,27,201706,201707,deposito,2017-07-01
A002397,27,201706,201707,gasto,2017-07-01
A002398,27,201706,201707,gasto,2017-07-01
A002399,27,201706,201707,gasto,2017-07-01
A002403,27,201706,201707,gasto,2017-07-01
A002404,27,201706,201707,gasto,2017-07-01
A002410,27,201706,201707,gasto,2017-07-01
A002411,27,201706,201707,deposito,2017-07-01
A002413,27,201706,201707,deposito,2017-07-01
A002415,27,201706,201707,deposito,2017-07-01
A002418,27,201706,201707,gasto,2017-07-01
A002419,27,201706,201707,gasto,2017-07-01
A002420,27,201706,201707,gasto,2017-07-01
A002424,27,201706,201707,gasto,2017-07-01
A002425,27,201706,201707,gasto,2017-07-01
A002426,27,201706,201707,gasto,2017-07-01
A002432,27,201706,201707,gasto,2017-07-01
A002433,27,201706,201707,gasto,2017-07-01
A002448,27,201706,201707,deposito,2017-07-01
A002461,27,201706,201707,gasto,2017-07-01
A002462,27,201706,201707,gasto,2017-07-01
A002463,27,201706,201707,gasto,2017-07-01
A002464,27,201706,201707,gasto,2017-07-01
A002466,28,201707,201708,gasto,2017-08-01
A002467,28,201707,201708,gasto,2017-08-01
A002468,28,201707,201708,gasto,2017-08-01
A002469,28,201707,201708,gasto,2017-08-01
A002471,28,201707,201708,gasto,2017-08-01
A002475,28,201707,201708,gasto,2017-08-01
A002476,28,201707,201708,gasto,2017-08-01
A002477,28,201707,201708,gasto,2017-08-01
A002486,28,201707,201708,deposito,2017-08-01
A002496,28,201707,201708,gasto,2017-08-01
A002497,28,201707,201708,gasto,2017-08-01
A002498,28,201707,201708,gasto,2017-08-01
A002499,28,201707,201708,gasto,2017-08-01
A002500,28,201707,201708,gasto,2017-08-01
A002502,28,201707,201708,gasto,2017-08-01
A002503,28,201707,201708,gasto,2017-08-01
A002505,28,201707,201708,deposito,2017-08-01
A002515,28,201707,201708,gasto,2017-08-01
A002516,28,201707,201708,gasto,2017-08-01
A002519,28,201707,201708,gasto,2017-08-01
A002524,28,201707,201708,gasto,2017-08-01
A002529,28,201707,201708,gasto,2017-08-01
A002530,28,201707,201708,gasto,2017-08-01
A002531,28,201707,201708,gasto,2017-08-01
A002532,28,201707,201708,gasto,2017-08-01
A002539,28,201707,201708,deposito,2017-08-01
A002541,28,201707,201708,deposito,2017-08-01
A002543,28,201707,201708,deposito,2017-08-01
