id,id_viaje,grupo_viaje
A014077,V133,G075
A013658,V114,G074
A002350,V023,G017
A013901,V122,G075
A001941,V020,G016
A003644,V045,G029
A013822,V119,G075
A005012,V055,G038
A006228,V072,G049
A013143,V115,G075
A002863,V027,G021
A001942,V020,G016
A006229,V073,G049
A014630,V137,G076
A006456,V077,G051
A001504,V019,G016
A003685,V045,G029
A003872,V047,G031
A006510,V078,G052
A013072,V112,G072
A011009,V100,G066
A004839,V051,G035
A010982,V100,G066
A006549,V078,G052
A005736,V065,G046
A009521,V086,G059
A001429,V013,G011
A014121,V122,G075
A002018,V022,G016
A000219,V002,G002
A014275,V125,G075
