id,id_viaje,grupo_viaje
A013115,V113,G072
A013882,V122,G075
A014194,V116,G075
A013789-1,V116,G075
A003910,V047,G031
A001931,V019,G016
A014141,V123,G075
A013240,V120,G075
A005044,V055,G038
A005949,V070,G047
A006073,V071,G048
A015671,V143,G081
A011993,V103,G067
A010522,V096,G064
A002898,V028,G021
A013964,V125,G075
A001493,V013,G011
A013969,V127,G075
A013900-1,V122,G075
A005087,V056,G039
A010305,V094,G063
A008740,V084,G057
A007214,V079,G053
A012353,V106,G069
A013952,V124,G075
A001924,V019,G016
A014730,V139,G077
A005355,V061,G042
A002793,V026,G020
A001418,V013,G011
A009008,V085,G058
A003890,V047,G031
A005820,V066,G046
A002330,V023,G017
A005265,V060,G041
A003032,V034,G022
A001416,V013,G011
A002892,V028,G021
A013802-1,V117,G075
A014174,V132,G075
A003605-2,V045,G029
A013853,V123,G075
A010537,V097,G064
A014198,V116,G075
A007197,V079,G053
A003888,V047,G031
A002796,V026,G020
A013880-1,V122,G075
A001991,V021,G016
A009667,V087,G060
A013140,V113,G072
A013874,V122,G075
A013977,V128,G075
A005739,V066,G046
A012340,V105,G069
A006342,V078,G052
A011913,V101,G067
A004880,V052,G036
A013769,V115,G075
A013418,V117,G075
A014152,V124,G075
A013837,V119,G075
A013723,V132,G075
A005942,V068,G047
A002882,V027,G021
A009455,V086,G059
A013785-1,V116,G075
A002050,V023,G017
A013576,V125,G075
A005339,V061,G042
A003778,V046,G030
A000487,V005,G004
A000473,V005,G004
A014626,V137,G076
A003048,V034,G022
A002804,V026,G020
A005297,V061,G042
A014208,V116,G075
A011008,V100,G066
A009462,V086,G059
A013928,V123,G075
A002017,V022,G016
A002889,V027,G021
A014225,V119,G075
A006552,V078,G052
A014734,V139,G077
A009674,V087,G060
A004975,V053,G037
A003681,V045,G029
A011887,V101,G067
A014132,V122,G075
A015690,V143,G081
A006539,V078,G052
A005937,V068,G047
A008719,V083,G056
A003056,V034,G022
A014238,V121,G075
A005697,V064,G045
A014282,V129,G075
A001996,V021,G016
A005938,V068,G047
A002899,V028,G021
A008721,V083,G056
A015586,V142,G080
A005813,V065,G046
A004852,V052,G036
A012642,V109,G071
A011069,V100,G066
A000496,V005,G004
A011921,V101,G067
A010543,V097,G064
A000212,V002,G002
A000264,V003,G002
A006292,V075,G050
A013906-1,V122,G075
A013548,V120,G075
A014248,V122,G075
A011971,V102,G067
A002798,V026,G020
A013168,V113,G072
A006189,V074,G050
A009458,V086,G059
A005847,V067,G046
A002576,V025,G019
A014139,V123,G075
A013970,V127,G075
A001413,V013,G011
A013925,V123,G075
A013712,V124,G075
A013235,V119,G075
A015653,V143,G081
A015693,V143,G081
A005706,V064,G045
A014732,V139,G077
A013996,V131,G075
A015677,V143,G081
A012655,V109,G071
A000414,V004,G003
A001973,V020,G016
A013931-1,V123,G075
A004028,V048,G032
A014006,V131,G075
A005013,V055,G038
A015473,V143,G081
A005855,V067,G046
A014108,V119,G075
A013570,V124,G075
A005703,V064,G045
A015684,V143,G081
A010301,V094,G063
A006326,V078,G052
A012625,V109,G071
A005773,V065,G046
A001994,V021,G016
A014269,V123,G075
A003001,V031,G022
A013937,V123,G075
A015670,V143,G081
A010840,V099,G065
A005801,V065,G046
A013098,V113,G072
A002911,V029,G021
A014101,V115,G075
A004848,V052,G036
A005848,V067,G046
A004810,V051,G035
A013831,V119,G075
A005017,V055,G038
A001646,V021,G016
A013906,V122,G075
A013139,V113,G072
A012048,V104,G068
A010306,V094,G063
A014650,V138,G076
A008674,V084,G057
A014633,V137,G076
A007188,V079,G053
A015908,V145,G082
A013347,V132,G075
A011902,V104,G068
A005097,V057,G039
A003102,V038,G024
A001428,V013,G011
A002904,V029,G021
A006518,V078,G052
A015658,V143,G081
A014236,V120,G075
A003042,V034,G022
A013099,V113,G072
A011956,V102,G067
A005950,V070,G047
A005692,V065,G046
A006276,V074,G050
A004910,V052,G036
A013237,V128,G075
A002046,V023,G017
A013981,V128,G075
A013579,V128,G075
A013941,V123,G075
A013815-1,V119,G075
A005794,V065,G046
A003779,V046,G030
A001953,V020,G016
A015656,V143,G081
A003197,V047,G031
A011908,V101,G067
A001918,V019,G016
A014106,V119,G075
A004994,V054,G038
A002788,V026,G020
A010531,V097,G064
A009784,V088,G061
A013989-1,V129,G075
A013689,V122,G075
A003395,V043,G027
A015356,V141,G079
A013765,V115,G075
A002975,V030,G022
A013119,V113,G072
A013223,V132,G075
A011099,V100,G066
A013997,V131,G075
A001930,V019,G016
A001978,V020,G016
A014278,V127,G075
A003645,V045,G029
A003059,V034,G022
A013934,V123,G075
A015649,V143,G081
A005767,V065,G046
A010391,V096,G064
A001425,V013,G011
A015585,V142,G080
A009787,V088,G061
A000495,V005,G004
A014170,V132,G075
A003775,V046,G030
A013241,V123,G075
A014030,V133,G075
A001987,V021,G016
A010293,V094,G063
A006515,V078,G052
A005644,V064,G045
A013975-1,V128,G075
A003242,V041,G026
A013662,V114,G074
A004873,V052,G036
A005101,V058,G039
A004871,V052,G036
A002305,V023,G017
A011990,V103,G067
A015683,V143,G081
A013834,V119,G075
A013493,V115,G075
A013686,V117,G075
A005779,V065,G046
A004907,V052,G036
A003771,V046,G030
A003687,V045,G029
A013108,V113,G072
A011935,V101,G067
A011082,V100,G066
A013907-1,V122,G075
A008724,V083,G056
A007202,V079,G053
A006281,V074,G050
A006523,V078,G052
A013012,V115,G075
A005664,V074,G050
A014222,V119,G075
A005712,V064,G045
A009669,V087,G060
A013716,V128,G075
A013144,V113,G072
A003003,V031,G022
A011976,V102,G067
A010525,V096,G064
A013860,V121,G075
A003037,V034,G022
A002482,V024,G018
A013891-1,V122,G075
A013921,V123,G075
A009693,V087,G060
A013776-1,V116,G075
A010143,V094,G063
A004858,V052,G036
A009690,V087,G060
A002783,V026,G020
A005023,V055,G038
A007200,V079,G053
A014658,V138,G076
A005808,V065,G046
A002323,V023,G017
A001415,V013,G011
A005640,V064,G045
A012620,V109,G071
A005839,V067,G046
A002880,V027,G021
A014124,V122,G075
A008742,V084,G057
A003883,V047,G031
A014276,V125,G075
A005815,V065,G046
A005308,V061,G042
A005948,V070,G047
A002797,V026,G020
A013877,V122,G075
A012656,V109,G071
A012035,V104,G068
A005340,V061,G042
A004878,V052,G036
A003891,V047,G031
A014100,V115,G075
A010844,V099,G065
A014587,V139,G077
A009801,V088,G061
A009006,V085,G058
A014165,V131,G075
A005410,V062,G043
A002480,V024,G018
A003024,V032,G022
A013877-1,V122,G075
A005707,V064,G045
A005592,V064,G045
A012762,V110,G072
A012364,V107,G069
A004882,V052,G036
A002483,V024,G018
A013082,V113,G072
A005401,V062,G043
A003027,V033,G022
A002515,V027,G021
A009463,V086,G059
A012357,V107,G069
A006507,V078,G052
A014232,V120,G075
A007222,V080,G053
A000474,V005,G004
A009675,V087,G060
A001659,V016,G013
