"id","fecha","razon_uso","clave","descripcion","lugar_de_uso","metodo_pago","monto","id_creditos","periodo_inicio","periodo_corte","primer_dia_mes_corte","tipo_credito"
A000508,2015-11-29,RECREACION,evento,evento_7953,RECREACION7,credito_3,-2755.5,8,201511,201512,2015-12-01,gasto
A000509,2015-11-29,RECREACION,invitacion,invitacion: nombre_3,RECREACION9,credito_3,-2755.5,8,201511,201512,2015-12-01,gasto
A000522,2015-12-02,DINERO,transaccion,transaccion_20,DINERO8,credito_3,4506.0,8,201511,201512,2015-12-01,deposito
A000524,2015-12-02,DINERO,transaccion,transaccion_2,DINERO10,credito_3,5493.0,8,201511,201512,2015-12-01,deposito
A000569,2015-12-19,LIBRE,gustos,"6.gustos_14",LIBRE5,credito_3,-28135.5,9,201512,201601,2016-01-01,gasto
A000572,2015-12-22,NECESIDAD,necesidad,necesidad_11,NECESIDAD1,credito_3,-7479.0,9,201512,201601,2016-01-01,gasto
A000573,2015-12-22,P.RECREACION,regalo,regalo: nombre_17,P.RECREACION2,credito_3,-52881.0,9,201512,201601,2016-01-01,gasto
A000574,2015-12-22,NECESIDAD,necesidad,necesidad_12,NECESIDAD2,credito_3,7467.0,9,201512,201601,2016-01-01,deposito
A000576,2015-12-22,DINERO,transaccion,transaccion_14,DINERO2,credito_3,28123.5,9,201512,201601,2016-01-01,deposito
A000620,2016-01-04,DINERO,transaccion,"5.transaccion_5",DINERO4,credito_3,8806.5,9,201512,201601,2016-01-01,deposito
A000633,2016-01-12,RECREACION,regalo,regalo: nombre_4,RECREACION9,credito_3,-61693.5,10,201601,201602,2016-02-01,gasto
A000634,2016-01-12,NECESIDAD,necesidad,necesidad_8,NECESIDAD4,credito_3,-7479.0,10,201601,201602,2016-02-01,gasto
A000635,2016-01-12,DINERO,transaccion,transaccion_9,DINERO4,credito_3,61681.5,10,201601,201602,2016-02-01,deposito
A000637,2016-01-12,NECESIDAD,necesidad,necesidad_11,NECESIDAD5,credito_3,7467.0,10,201601,201602,2016-02-01,deposito
A000660,2016-01-18,LIBRE,gustos,gustos_682,LIBRE7,credito_3,-24681.0,10,201601,201602,2016-02-01,gasto
A000662,2016-01-21,DINERO,transaccion,transaccion_1,DINERO6,credito_3,24669.0,10,201601,201602,2016-02-01,deposito
A000691,2016-02-05,DINERO,transaccion,"6.transaccion_6",DINERO2,credito_3,8806.5,10,201601,201602,2016-02-01,deposito
A000700,2016-02-10,NECESIDAD,necesidad,necesidad_10,NECESIDAD7,credito_3,-7479.0,11,201602,201603,2016-03-01,gasto
