"id","fecha","razon_uso","clave","descripcion","lugar_de_uso","monto","id_viaje","grupo_viaje","periodo_fact_c_diaria"
A011957,2023-06-03,P.VIAJE,consumible,consumible_8019,P.VIAJE1,-18900.0,V102,G067,202306
A003051,2017-11-25,P.VIAJE,consumible,consumible_7609,P.VIAJE1,-11435.460000000001,V034,G022,201711
A005561,2019-08-09,P.VIAJE,regalo,regalo: nombre_20,P.VIAJE2,-2262.0,V063,G044,201908
A005810,2019-10-02,P.VIAJE,recreacion,recreacion_3,P.VIAJE1,-2121.0,V065,G046,201910
A003770,2018-05-26,P.VIAJE,consumible,consumible_8187,P.VIAJE3,-22766.219999999998,V046,G030,201805
A000604,2015-12-31,P.VIAJE,transporte,transporte_2,P.VIAJE8,-2121.0,V007,G006,201512
A013784,2024-04-09,P.VIAJE,consumible,consumible_9595,P.VIAJE5,-759.9975000000001,V116,G075,202404
A011798,2023-04-28,P.VIAJE,transporte,transporte_1,P.VIAJE2,-229695.0,V101,G067,202304
A002013,2017-03-19,P.VIAJE,recreacion,recreacion_7,P.VIAJE10,-14934.375,V021,G016,201703
A011917,2023-05-26,P.VIAJE,hogar,hogar_4767,P.VIAJE3,-653.1899999999999,V101,G067,202305
A009491,2022-05-18,P.VIAJE,regalo,regalo: nombre_8,P.VIAJE3,-10581.0,V086,G059,202205
A006272,2019-12-28,P.VIAJE,recreacion,recreacion_7,P.VIAJE5,-53348.415,V074,G050,201912
A005804,2019-10-02,P.VIAJE,gustos,"2.gustos_10",P.VIAJE2,-100116.0,V065,G046,201910
A005042,2019-04-23,P.VIAJE,regalo,regalo: nombre_8,P.VIAJE10,-17631.0,V056,G039,201904
A001997,2017-03-18,P.VIAJE,gustos,gustos_5592,P.VIAJE8,-52920.479999999996,V021,G016,201703
A010297,2022-09-02,P.VIAJE,consumible,consumible_11052,P.VIAJE8,-2685.0,V094,G063,202209
A008747,2021-10-30,P.VIAJE,consumible,consumible_8309,P.VIAJE1,-56406.0,V084,G057,202110
A004836,2019-03-17,P.VIAJE,regalo,regalo: nombre_6,P.VIAJE6,-3934.683,V051,G035,201903
A014007-1,2024-04-25,P.VIAJE,deuda,deuda: nombre_14,P.VIAJE7,-4014.63,V132,G075,202404
A000482,2015-11-21,P.VIAJE,recreacion,recreacion_4,P.VIAJE10,-7056.0,V005,G004,201511
A013659,2024-03-27,P.VIAJE,deuda,deuda: nombre_13,P.VIAJE6,-17687.4,V114,G074,202403
A014197,2024-05-03,P.VIAJE,deuda,deuda: nombre_1,P.VIAJE6,747.9975000000001,V116,G075,202405
A004835,2019-03-17,P.VIAJE,regalo,regalo: nombre_5,P.VIAJE5,-3934.683,V051,G035,201903
A014616,2024-07-18,P.VIAJE,consumible,consumible_9547,P.VIAJE3,-4518.0,V134,G076,202407
A013641,2024-03-27,P.VIAJE,hogar,hogar_4827,P.VIAJE3,-16362.0,V114,G074,202403
A006368,2020-01-23,INGRESO,actividad,actividad_15,INGRESO2,-83830.5,V096,G064,202001
A003659,2018-05-04,P.VIAJE,gustos,gustos_5489,P.VIAJE1,-14106.0,V045,G029,201805
A013819,2024-04-12,P.VIAJE,consumible,consumible_9958,P.VIAJE2,-798.0675,V119,G075,202404
A004845,2019-03-18,P.VIAJE,evento,evento_5729,P.VIAJE1,-711.0,V052,G036,201903
A012366,2023-08-03,P.VIAJE,consumible,consumible_10097,P.VIAJE3,-1557.0,V107,G069,202308
A013476,2024-03-01,P.VIAJE,deuda,deuda: nombre_6,P.VIAJE3,-70610.34,V122,G075,202403
A010561,2022-10-06,P.VIAJE,transaccion,transaccion_8,P.VIAJE9,-1416.0,V098,G064,202210
A013970-1,2024-04-22,P.VIAJE,deuda,deuda: nombre_6,P.VIAJE3,-3146.7749999999996,V127,G075,202404
A005789,2019-09-30,P.VIAJE,gustos,gustos_5407,P.VIAJE3,-31731.0,V065,G046,201909
