fecha,tipo_cambio,moneda
11/04/2025,1102.22,Euro
10/04/2025,1105.12,Euro
09/04/2025,1073.40,Euro
08/04/2025,1095.14,Euro
07/04/2025,1078.24,Euro
04/04/2025,1073.02,Euro
03/04/2025,1049.01,Euro
02/04/2025,1036.44,Euro
01/04/2025,1022.57,Euro
31/03/2025,1025.32,Euro
28/03/2025,1029.03,Euro
27/03/2025,1008.06,Euro
26/03/2025,994.86,Euro
25/03/2025,991.79,Euro
24/03/2025,1001.11,Euro
21/03/2025,1004.04,Euro
20/03/2025,1005.31,Euro
19/03/2025,998.91,Euro
18/03/2025,1003.21,Euro
17/03/2025,1005.55,Euro
14/03/2025,1010.29,Euro
13/03/2025,1013.45,Euro
12/03/2025,1019.43,Euro
11/03/2025,1018.79,Euro
10/03/2025,1021.89,Euro
07/03/2025,1006.60,Euro
06/03/2025,1001.31,Euro
05/03/2025,1001.00,Euro
04/03/2025,1002.69,Euro
03/03/2025,996.27,Euro
28/02/2025,994.11,Euro
27/02/2025,988.39,Euro
26/02/2025,986.65,Euro
25/02/2025,990.41,Euro
24/02/2025,987.32,Euro
21/02/2025,985.45,Euro
20/02/2025,989.09,Euro
19/02/2025,990.00,Euro
18/02/2025,990.19,Euro
17/02/2025,993.17,Euro
14/02/2025,985.37,Euro
13/02/2025,986.49,Euro
12/02/2025,986.17,Euro
11/02/2025,994.44,Euro
10/02/2025,990.41,Euro
07/02/2025,993.08,Euro
06/02/2025,998.42,Euro
05/02/2025,1009.64,Euro
04/02/2025,1008.38,Euro
03/02/2025,1018.29,Euro
31/01/2025,1015.87,Euro
30/01/2025,1020.59,Euro
29/01/2025,1031.51,Euro
28/01/2025,1036.21,Euro
27/01/2025,1033.87,Euro
24/01/2025,1028.68,Euro
23/01/2025,1027.92,Euro
22/01/2025,1030.88,Euro
21/01/2025,1045.14,Euro
20/01/2025,1040.88,Euro
17/01/2025,1033.04,Euro
16/01/2025,1042.16,Euro
15/01/2025,1033.38,Euro
14/01/2025,1032.97,Euro
13/01/2025,1030.01,Euro
10/01/2025,1034.90,Euro
09/01/2025,1035.98,Euro
08/01/2025,1031.86,Euro
07/01/2025,1038.18,Euro
06/01/2025,1049.39,Euro
03/01/2025,1047.43,Euro
02/01/2025,1030.13,Euro
01/01/2025,1027.84,Euro
31/12/2024,1027.64,Euro
30/12/2024,1033.00,Euro
27/12/2024,1033.82,Euro
26/12/2024,1030.46,Euro
25/12/2024,1029.01,Euro
24/12/2024,1028.32,Euro
23/12/2024,1029.74,Euro
