image_url,id_viaje
https://raw.githubusercontent.com/Lacj91/2_album_financiero/main/data/powerbi_viajes/V001.jpg,V001
https://raw.githubusercontent.com/Lacj91/2_album_financiero/main/data/powerbi_viajes/V002.jpg,V002
https://raw.githubusercontent.com/Lacj91/2_album_financiero/main/data/powerbi_viajes/V003.jpg,V003
https://raw.githubusercontent.com/Lacj91/2_album_financiero/main/data/powerbi_viajes/V004.jpg,V004
https://raw.githubusercontent.com/Lacj91/2_album_financiero/main/data/powerbi_viajes/V005.jpg,V005
https://raw.githubusercontent.com/Lacj91/2_album_financiero/main/data/powerbi_viajes/V006.jpg,V006
https://raw.githubusercontent.com/Lacj91/2_album_financiero/main/data/powerbi_viajes/V007.jpg,V007
https://raw.githubusercontent.com/Lacj91/2_album_financiero/main/data/powerbi_viajes/V008.jpg,V008
https://raw.githubusercontent.com/Lacj91/2_album_financiero/main/data/powerbi_viajes/V009.jpg,V009
https://raw.githubusercontent.com/Lacj91/2_album_financiero/main/data/powerbi_viajes/V010.jpg,V010
https://raw.githubusercontent.com/Lacj91/2_album_financiero/main/data/powerbi_viajes/V011.jpg,V011
https://raw.githubusercontent.com/Lacj91/2_album_financiero/main/data/powerbi_viajes/V012.jpg,V012
https://raw.githubusercontent.com/Lacj91/2_album_financiero/main/data/powerbi_viajes/V013.jpg,V013
https://raw.githubusercontent.com/Lacj91/2_album_financiero/main/data/powerbi_viajes/V014.jpg,V014
https://raw.githubusercontent.com/Lacj91/2_album_financiero/main/data/powerbi_viajes/V015.jpg,V015
https://raw.githubusercontent.com/Lacj91/2_album_financiero/main/data/powerbi_viajes/V016.jpg,V016
https://raw.githubusercontent.com/Lacj91/2_album_financiero/main/data/powerbi_viajes/V017.jpg,V017
https://raw.githubusercontent.com/Lacj91/2_album_financiero/main/data/powerbi_viajes/V018.jpg,V018
https://raw.githubusercontent.com/Lacj91/2_album_financiero/main/data/powerbi_viajes/V019.jpg,V019
https://raw.githubusercontent.com/Lacj91/2_album_financiero/main/data/powerbi_viajes/V020.jpg,V020
https://raw.githubusercontent.com/Lacj91/2_album_financiero/main/data/powerbi_viajes/V021.jpg,V021
https://raw.githubusercontent.com/Lacj91/2_album_financiero/main/data/powerbi_viajes/V022.jpg,V022
https://raw.githubusercontent.com/Lacj91/2_album_financiero/main/data/powerbi_viajes/V023.jpg,V023
https://raw.githubusercontent.com/Lacj91/2_album_financiero/main/data/powerbi_viajes/V024.jpg,V024
https://raw.githubusercontent.com/Lacj91/2_album_financiero/main/data/powerbi_viajes/V025.jpg,V025
https://raw.githubusercontent.com/Lacj91/2_album_financiero/main/data/powerbi_viajes/V026.jpg,V026
https://raw.githubusercontent.com/Lacj91/2_album_financiero/main/data/powerbi_viajes/V027.jpg,V027
https://raw.githubusercontent.com/Lacj91/2_album_financiero/main/data/powerbi_viajes/V028.jpg,V028
https://raw.githubusercontent.com/Lacj91/2_album_financiero/main/data/powerbi_viajes/V029.jpg,V029
https://raw.githubusercontent.com/Lacj91/2_album_financiero/main/data/powerbi_viajes/V030.jpg,V030
https://raw.githubusercontent.com/Lacj91/2_album_financiero/main/data/powerbi_viajes/V031.jpg,V031
https://raw.githubusercontent.com/Lacj91/2_album_financiero/main/data/powerbi_viajes/V032.jpg,V032
https://raw.githubusercontent.com/Lacj91/2_album_financiero/main/data/powerbi_viajes/V033.jpg,V033
https://raw.githubusercontent.com/Lacj91/2_album_financiero/main/data/powerbi_viajes/V034.jpg,V034
https://raw.githubusercontent.com/Lacj91/2_album_financiero/main/data/powerbi_viajes/V035.jpg,V035
https://raw.githubusercontent.com/Lacj91/2_album_financiero/main/data/powerbi_viajes/V036.jpg,V036
https://raw.githubusercontent.com/Lacj91/2_album_financiero/main/data/powerbi_viajes/V037.jpg,V037
https://raw.githubusercontent.com/Lacj91/2_album_financiero/main/data/powerbi_viajes/V038.jpg,V038
https://raw.githubusercontent.com/Lacj91/2_album_financiero/main/data/powerbi_viajes/V039.jpg,V039
https://raw.githubusercontent.com/Lacj91/2_album_financiero/main/data/powerbi_viajes/V040.jpg,V040
https://raw.githubusercontent.com/Lacj91/2_album_financiero/main/data/powerbi_viajes/V041.jpg,V041
https://raw.githubusercontent.com/Lacj91/2_album_financiero/main/data/powerbi_viajes/V042.jpg,V042
https://raw.githubusercontent.com/Lacj91/2_album_financiero/main/data/powerbi_viajes/V043.jpg,V043
https://raw.githubusercontent.com/Lacj91/2_album_financiero/main/data/powerbi_viajes/V044.jpg,V044
https://raw.githubusercontent.com/Lacj91/2_album_financiero/main/data/powerbi_viajes/V045.jpg,V045
https://raw.githubusercontent.com/Lacj91/2_album_financiero/main/data/powerbi_viajes/V046.jpg,V046
https://raw.githubusercontent.com/Lacj91/2_album_financiero/main/data/powerbi_viajes/V047.jpg,V047
https://raw.githubusercontent.com/Lacj91/2_album_financiero/main/data/powerbi_viajes/V048.jpg,V048
https://raw.githubusercontent.com/Lacj91/2_album_financiero/main/data/powerbi_viajes/V049.jpg,V049
https://raw.githubusercontent.com/Lacj91/2_album_financiero/main/data/powerbi_viajes/V050.jpg,V050
https://raw.githubusercontent.com/Lacj91/2_album_financiero/main/data/powerbi_viajes/V051.jpg,V051
https://raw.githubusercontent.com/Lacj91/2_album_financiero/main/data/powerbi_viajes/V052.jpg,V052
https://raw.githubusercontent.com/Lacj91/2_album_financiero/main/data/powerbi_viajes/V053.jpg,V053
https://raw.githubusercontent.com/Lacj91/2_album_financiero/main/data/powerbi_viajes/V054.jpg,V054
https://raw.githubusercontent.com/Lacj91/2_album_financiero/main/data/powerbi_viajes/V055.jpg,V055
https://raw.githubusercontent.com/Lacj91/2_album_financiero/main/data/powerbi_viajes/V056.jpg,V056
https://raw.githubusercontent.com/Lacj91/2_album_financiero/main/data/powerbi_viajes/V057.jpg,V057
https://raw.githubusercontent.com/Lacj91/2_album_financiero/main/data/powerbi_viajes/V058.jpg,V058
https://raw.githubusercontent.com/Lacj91/2_album_financiero/main/data/powerbi_viajes/V059.jpg,V059
https://raw.githubusercontent.com/Lacj91/2_album_financiero/main/data/powerbi_viajes/V060.jpg,V060
https://raw.githubusercontent.com/Lacj91/2_album_financiero/main/data/powerbi_viajes/V061.jpg,V061
https://raw.githubusercontent.com/Lacj91/2_album_financiero/main/data/powerbi_viajes/V062.jpg,V062
https://raw.githubusercontent.com/Lacj91/2_album_financiero/main/data/powerbi_viajes/V063.jpg,V063
https://raw.githubusercontent.com/Lacj91/2_album_financiero/main/data/powerbi_viajes/V064.jpg,V064
https://raw.githubusercontent.com/Lacj91/2_album_financiero/main/data/powerbi_viajes/V065.jpg,V065
https://raw.githubusercontent.com/Lacj91/2_album_financiero/main/data/powerbi_viajes/V066.jpg,V066
https://raw.githubusercontent.com/Lacj91/2_album_financiero/main/data/powerbi_viajes/V067.jpg,V067
https://raw.githubusercontent.com/Lacj91/2_album_financiero/main/data/powerbi_viajes/V068.jpg,V068
https://raw.githubusercontent.com/Lacj91/2_album_financiero/main/data/powerbi_viajes/V069.jpg,V069
https://raw.githubusercontent.com/Lacj91/2_album_financiero/main/data/powerbi_viajes/V070.jpg,V070
https://raw.githubusercontent.com/Lacj91/2_album_financiero/main/data/powerbi_viajes/V071.jpg,V071
https://raw.githubusercontent.com/Lacj91/2_album_financiero/main/data/powerbi_viajes/V072.jpg,V072
https://raw.githubusercontent.com/Lacj91/2_album_financiero/main/data/powerbi_viajes/V073.jpg,V073
https://raw.githubusercontent.com/Lacj91/2_album_financiero/main/data/powerbi_viajes/V074.jpg,V074
https://raw.githubusercontent.com/Lacj91/2_album_financiero/main/data/powerbi_viajes/V075.jpg,V075
https://raw.githubusercontent.com/Lacj91/2_album_financiero/main/data/powerbi_viajes/V076.jpg,V076
https://raw.githubusercontent.com/Lacj91/2_album_financiero/main/data/powerbi_viajes/V077.jpg,V077
